customer_id,monetary_value,frequency,last_invoice_date,recency,Cluster
12346.0,169.36,2,2010-06-28 13:53:00,164,0
12347.0,1323.32,2,2010-12-07 14:57:00,2,2
12348.0,221.16,1,2010-09-27 14:59:00,73,1
12351.0,300.93,1,2010-11-29 15:23:00,10,1
12352.0,343.8,2,2010-11-29 10:07:00,10,1
12353.0,317.76,1,2010-10-27 12:44:00,43,1
12355.0,488.21000000000004,1,2010-05-21 11:59:00,202,0
12360.0,1310.83,3,2010-11-12 11:31:00,27,2
12361.0,276.35,3,2010-09-03 15:19:00,97,1
12366.0,500.24,1,2010-03-16 10:28:00,268,0
12368.0,917.6999999999999,1,2010-03-21 15:56:00,263,0
12369.0,1511.15,3,2010-10-22 13:13:00,48,2
12370.0,534.62,3,2010-03-25 12:10:00,259,0
12373.0,603.0500000000001,2,2010-03-25 13:49:00,259,0
12376.0,383.15,2,2010-11-15 12:15:00,24,1
12378.0,1407.7,1,2010-05-26 14:07:00,197,2
12379.0,692.98,2,2010-10-13 14:46:00,57,2
12385.0,1668.4,1,2010-11-25 15:14:00,14,2
12386.0,258.9,1,2010-12-08 09:53:00,1,1
12387.0,143.94,1,2010-10-20 16:27:00,50,1
12388.0,1120.45,2,2010-09-20 12:41:00,80,2
12389.0,1433.33,3,2010-11-02 11:52:00,37,2
12392.0,234.75000000000003,1,2010-04-27 14:04:00,226,0
12393.0,816.85,2,2010-11-22 16:10:00,17,2
12396.0,931.43,1,2010-02-03 13:22:00,309,0
12399.0,808.65,3,2010-11-19 08:53:00,20,2
12400.0,205.25,1,2010-10-21 13:45:00,49,1
12402.0,941.3,5,2010-11-12 09:50:00,27,3
12403.0,555.6600000000001,1,2010-07-06 11:39:00,156,0
12408.0,1287.22,3,2010-11-19 13:21:00,20,2
12410.0,240.38,1,2010-07-25 13:26:00,137,1
12411.0,346.9,1,2010-10-26 09:25:00,44,1
12412.0,1262.05,3,2010-11-02 17:02:00,37,2
12413.0,185.35,1,2010-11-02 13:26:00,37,1
12414.0,90.0,1,2010-09-02 12:22:00,98,1
12416.0,202.56,1,2010-02-21 10:19:00,291,0
12418.0,1352.62,3,2010-10-22 10:29:00,48,2
12419.0,391.01,2,2010-11-19 10:04:00,20,1
12421.0,235.56,2,2010-10-20 14:28:00,50,1
12423.0,667.08,2,2010-11-17 11:33:00,22,1
12424.0,1579.07,2,2010-10-13 10:29:00,57,2
12425.0,964.21,1,2010-09-17 14:10:00,83,2
12426.0,690.48,1,2010-02-15 08:41:00,297,0
12427.0,249.5,1,2010-12-03 10:44:00,6,1
12434.0,297.29,1,2010-11-23 13:38:00,16,1
12439.0,1158.18,2,2010-01-26 12:11:00,317,0
12440.0,739.2,2,2010-09-03 13:11:00,97,2
12441.0,155.55,1,2010-12-08 10:45:00,1,1
12443.0,365.31,1,2009-12-07 15:42:00,367,0
12445.0,301.58000000000004,1,2010-10-15 12:28:00,55,1
12449.0,678.6,1,2010-09-27 09:37:00,73,1
12450.0,490.32,3,2010-11-05 16:27:00,34,1
12457.0,512.68,1,2010-09-30 17:59:00,70,1
12458.0,715.09,2,2010-10-08 11:36:00,62,2
12459.0,398.36,1,2010-04-13 14:53:00,240,0
12460.0,296.65,1,2010-09-09 13:51:00,91,1
12467.0,132.8,1,2010-10-12 15:41:00,58,1
12470.0,211.95,1,2010-01-19 11:01:00,324,0
12475.0,396.26,1,2010-10-26 08:49:00,44,1
12484.0,1619.43,5,2010-08-13 13:45:00,118,3
12485.0,708.1,1,2010-06-28 15:22:00,164,0
12486.0,917.28,1,2010-10-04 12:14:00,66,2
12487.0,285.29999999999995,1,2009-12-09 11:36:00,365,0
12492.0,380.0,1,2010-11-01 14:58:00,38,1
12494.0,518.77,3,2010-12-09 11:31:00,0,1
12495.0,277.4,1,2010-03-09 10:53:00,275,0
12496.0,54.09,2,2010-03-29 14:06:00,255,0
12499.0,357.72,1,2010-05-28 15:12:00,195,0
12503.0,896.0,1,2010-05-04 13:59:00,219,0
12504.0,261.0,2,2010-10-18 15:09:00,52,1
12505.0,787.2,1,2010-10-27 09:18:00,43,1
12507.0,455.25,1,2010-05-04 09:23:00,219,0
12514.0,580.08,1,2010-03-08 12:18:00,276,0
12516.0,1102.56,2,2010-10-05 09:43:00,65,2
12519.0,349.7,1,2010-08-20 08:21:00,111,1
12525.0,883.73,3,2010-07-29 16:08:00,133,2
12527.0,386.8,2,2010-08-02 12:23:00,129,1
12529.0,316.48,1,2010-06-29 13:10:00,163,0
12531.0,1645.98,1,2010-01-22 14:17:00,321,2
12533.0,1223.89,2,2010-03-22 10:56:00,262,2
12537.0,612.94,1,2010-10-27 08:36:00,43,1
12538.0,276.5,1,2010-11-26 13:02:00,13,1
12542.0,481.88,2,2010-08-12 19:12:00,119,1
12543.0,840.25,1,2010-09-17 15:51:00,83,2
12547.0,147.78,1,2010-07-27 13:55:00,135,1
12549.0,1570.68,5,2010-05-13 12:05:00,210,3
12553.0,826.47,2,2010-11-19 12:18:00,20,2
12554.0,384.5,1,2010-09-17 12:29:00,83,1
12562.0,1041.18,2,2010-11-19 09:35:00,20,2
12563.0,221.24,1,2010-10-27 09:52:00,43,1
12568.0,52.0,1,2010-03-05 09:15:00,279,0
12573.0,556.87,4,2010-11-23 13:01:00,16,3
12575.0,568.8199999999999,2,2010-09-08 13:09:00,92,1
12576.0,746.89,3,2010-11-12 12:44:00,27,2
12577.0,995.9499999999999,5,2010-11-23 14:06:00,16,3
12578.0,1623.94,2,2010-11-19 17:21:00,20,2
12580.0,583.1999999999999,1,2010-05-12 11:45:00,211,0
12582.0,1469.04,2,2010-10-13 10:52:00,57,2
12588.0,543.88,2,2010-11-05 12:38:00,34,1
12591.0,759.3,2,2010-11-14 14:32:00,25,2
12592.0,1322.04,2,2010-07-08 14:26:00,154,2
12594.0,1681.89,5,2010-11-26 12:17:00,13,3
12595.0,281.02,1,2010-07-23 09:10:00,139,1
